iter	Logloss
178	0.4037002029
179	0.403175818
180	0.4024937058
181	0.4020428385
182	0.4013512361
183	0.4009010273
184	0.400349381
185	0.3997764069
186	0.3990988227
187	0.3984832264
188	0.3978168339
189	0.3973731356
190	0.396928885
191	0.3962237544
192	0.3957623751
193	0.3953098512
194	0.3945558424
195	0.3941545529
196	0.3937965102
197	0.3933669255
198	0.3928087049
199	0.392315313
200	0.3918268579
201	0.3914158344
202	0.3909071668
203	0.3904680601
204	0.3900914246
205	0.3894493187
206	0.3888966783
207	0.3883510338
208	0.387839917
209	0.3873554596
210	0.3868420593
211	0.3863699955
212	0.3858853523
213	0.3852059894
214	0.3847460421
215	0.3843639539
216	0.3836623427
217	0.3832391902
218	0.3828123741
219	0.3824730656
220	0.3821560075
221	0.3818222392
222	0.3813187996
223	0.3808423676
224	0.3804111193
225	0.3797692032
226	0.3795040101
227	0.3791115228
228	0.3787109649
229	0.3782817451
230	0.3778619275
231	0.3773591001
232	0.3768506709
233	0.3763965214
234	0.3757818088
235	0.3751803544
236	0.3749667548
237	0.374513452
238	0.3739567153
239	0.3734354669
240	0.3729345578
241	0.3725876812
242	0.3721015036
243	0.3719184391
244	0.371441777
245	0.3710153181
246	0.3707063062
247	0.3703223626
248	0.3699914585
249	0.3697222699
250	0.369355006
251	0.3689249233
252	0.3687559462
253	0.3684748271
254	0.3679234522
255	0.3674862567
256	0.367157152
257	0.3667730945
258	0.3663356885
259	0.3659127489
260	0.3655581776
261	0.3649041919
262	0.3643686192
263	0.3641314058
264	0.3636189567
265	0.363126754
266	0.3628593942
267	0.3627366509
268	0.3624200486
269	0.3621167125
270	0.3617670492
271	0.3614407154
272	0.3611948117
273	0.36072402
274	0.3603120518
275	0.3600688454
276	0.359901711
277	0.3595275622
278	0.3590808217
279	0.3587297372
280	0.358343445
281	0.3579532221
282	0.3577126756
283	0.3572185575
284	0.3567159785
285	0.3563107589
286	0.3557666471
287	0.3553177787
288	0.3549805328
289	0.3547054697
290	0.3545085644
291	0.354229032
292	0.3537283047
293	0.3534865487
294	0.3531488745
295	0.3529009315
296	0.3526813762
297	0.3524429413
298	0.3521893397
299	0.3518732622
300	0.351620277
301	0.3512427226
302	0.3509045665
303	0.3505750713
304	0.3503403194
305	0.3501145835
306	0.3499703522
307	0.3496432627
308	0.3492781844
309	0.3488328062
310	0.3485272201
311	0.348236875
312	0.3479524976
313	0.3476081862
314	0.3473524303
315	0.3471649278
316	0.3468993183
317	0.3464827072
318	0.3461780567
319	0.3459329092
320	0.3455493396
321	0.3452189388
322	0.345037238
323	0.3446968002
324	0.3442705915
325	0.3440787658
326	0.3437499659
327	0.3433177676
328	0.343018989
329	0.3426471337
330	0.3424111437
331	0.3421294335
332	0.3416776189
333	0.3413475055
334	0.341203137
335	0.3406960795
336	0.3404335589
337	0.3400443093
338	0.3398464115
339	0.3396119928
340	0.3391600938
341	0.3388471361
342	0.338631164
343	0.3381950147
344	0.3380318145
345	0.337561875
346	0.337283361
347	0.3370987952
348	0.3368856277
349	0.3366287375
350	0.3361550557
351	0.3359254724
352	0.3356323828
353	0.3352618314
354	0.3347997281
355	0.3345759349
356	0.3342415636
357	0.3339932605
358	0.3336951759
359	0.3333737613
360	0.3330755552
361	0.332765571
362	0.332323481
363	0.3320280399
364	0.3316469842
365	0.3314735437
366	0.3310286803
367	0.3308251504
368	0.3306518448
369	0.3303281951
370	0.3300882076
371	0.3296994011
372	0.3294581017
373	0.3290669292
374	0.3289311665
375	0.3286814884
376	0.3284282338
377	0.3283050457
378	0.3280806681
379	0.3278777005
380	0.3276507438
381	0.327507808
382	0.3271555071
383	0.3268274137
384	0.32659598
385	0.3263096401
386	0.3260236288
387	0.3256647735
388	0.3254214725
389	0.325292742
390	0.3250879681
391	0.3246790366
392	0.3245071337
393	0.3242204724
394	0.3240381157
395	0.3237844038
396	0.3235764872
397	0.3233699972
398	0.3230883541
399	0.3227108564
400	0.3222896501
401	0.3222440364
402	0.3219800144
403	0.3217301946
404	0.3215084236
405	0.3212259661
406	0.3209853846
407	0.3207460901
408	0.3204364619
409	0.3201234243
410	0.3197516112
411	0.3195696353
412	0.3194087123
413	0.3190504761
414	0.3189440384
415	0.3187283709
416	0.3186420182
417	0.3185000876
418	0.318307113
419	0.3179523828
420	0.3177450143
421	0.3175693122
422	0.3171382221
423	0.3169317404
424	0.3168081652
425	0.3164583225
426	0.3161380124
427	0.3159400367
428	0.3157660902
429	0.3155169534
430	0.3152295037
431	0.3149619169
432	0.314781202
433	0.3144999691
434	0.3142672815
435	0.314143404
436	0.313919109
437	0.3136514951
438	0.3134487606
439	0.313265858
440	0.3130158921
441	0.3126847935
442	0.31232661
443	0.3121367094
444	0.3118242986
445	0.3113841074
446	0.3112595459
447	0.3109629803
448	0.31071624
449	0.3105950621
450	0.3102337519
451	0.3101414315
452	0.3098645742
453	0.3096794963
454	0.3095029368
455	0.3092738996
456	0.309080472
457	0.3087106302
458	0.3083277097
459	0.307908657
460	0.3074697692
461	0.3072748952
462	0.3070786914
463	0.3069018633
464	0.306485571
465	0.306136615
466	0.3058628561
467	0.3055524839
468	0.3052976561
469	0.3049900613
470	0.3047947685
471	0.3046148569
472	0.3044444615
473	0.3041224315
474	0.3039222289
475	0.303677067
476	0.303367639
477	0.3031535374
478	0.3029468089
479	0.3025633788
480	0.3024123225
481	0.3022801179
482	0.3019824563
483	0.301684998
484	0.3013219268
485	0.3012755325
486	0.3011183419
487	0.3009572018
488	0.3007101418
489	0.3005802517
490	0.3001841329
491	0.3000336578
492	0.2997643969
493	0.2995358093
494	0.2993356788
495	0.2989865453
496	0.2988055166
497	0.2985213303
498	0.2982261357
499	0.2980785849
500	0.2976948361
501	0.2973744836
502	0.2971016806
503	0.2966934258
504	0.2964834939
505	0.2960341056
506	0.295914374
507	0.2955778595
508	0.2953684553
509	0.294997366
510	0.2946740136
511	0.294461735
512	0.2943857799
513	0.29419179
514	0.2939771379
515	0.2938266782
516	0.2937463968
517	0.2935482402
518	0.2932205993
519	0.2929973998
520	0.2928414849
521	0.2924798374
522	0.2921806942
523	0.2921316888
524	0.2918221825
525	0.2916723525
526	0.2914627376
527	0.2913228093
528	0.2910922711
529	0.2908788953
530	0.2904961619
531	0.2901717356
532	0.2899753504
533	0.289535368
534	0.2891092169
535	0.2889348829
536	0.2887297977
537	0.2885637918
538	0.2884369387
539	0.2883161129
540	0.2880058267
541	0.287657917
542	0.2874592425
543	0.2873320016
544	0.2871455415
545	0.2869365468
546	0.2867800597
547	0.2865724959
548	0.2863558334
549	0.2859741824
550	0.2855686022
551	0.2853220658
552	0.2851987771
553	0.2849952335
554	0.2846459978
555	0.284447999
556	0.2843781733
557	0.2840506864
558	0.2838109662
559	0.2835975104
560	0.2833300942
561	0.2831050153
562	0.2829352946
563	0.2827270707
564	0.2825298178
565	0.2823376309
566	0.2821789315
567	0.2819688173
568	0.2816682732
569	0.2814984147
570	0.2812859404
571	0.2811272771
572	0.2809192861
573	0.2806715823
574	0.2805643496
575	0.2803665676
576	0.2802400725
577	0.2799227397
578	0.2796464932
579	0.2794728692
580	0.2792601442
581	0.279002301
582	0.278821219
583	0.2786137082
584	0.278444049
585	0.2782489254
586	0.2780494201
587	0.2777653691
588	0.2775251451
589	0.277451546
590	0.2773170188
591	0.2770818514
592	0.2767738081
593	0.2764742675
594	0.2762784868
595	0.2761402035
596	0.2759308192
597	0.2757986573
598	0.2755891007
599	0.2754905085
600	0.2752636883
601	0.2750463055
602	0.2747779331
603	0.2746277023
604	0.2744945461
605	0.2743015591
606	0.2740615607
607	0.2738566892
608	0.2737125253
609	0.2734412943
610	0.2731138701
611	0.2729100851
612	0.2726923944
613	0.2724854154
614	0.2720077261
615	0.2717416237
616	0.2715303288
617	0.2712065987
618	0.2710171478
619	0.2708451805
620	0.2705684229
621	0.2704420145
622	0.2702792371
623	0.2700176966
624	0.2698266212
625	0.2696116648
626	0.2694579887
627	0.2690802236
628	0.2688848603
629	0.2686377845
630	0.2685388022
631	0.2682698932
632	0.2680726906
633	0.2678486491
634	0.2675636365
635	0.2674244228
636	0.2670898486
637	0.2668965959
638	0.2667537728
639	0.2664460963
640	0.2662461143
641	0.2660893277
642	0.2658833729
643	0.2656669752
644	0.2654008923
645	0.2652898117
646	0.2651338121
647	0.2648437171
648	0.26470177
649	0.2645804
650	0.2643230506
651	0.2639880445
652	0.2637923136
653	0.2635498248
654	0.2633185726
655	0.2631453512
656	0.2629476059
657	0.2628477265
658	0.2626997669
659	0.2625065157
660	0.2622640123
661	0.2621944398
662	0.2620245926
663	0.2617852806
664	0.2616007757
665	0.2613399537
666	0.2612455013
667	0.2611024115
668	0.2609537691
669	0.2608621341
670	0.2605662915
671	0.2603743011
672	0.2602267061
673	0.2600836949
674	0.2600038456
675	0.2597577822
676	0.2596177176
677	0.2594083636
678	0.2592875427
679	0.2591357834
680	0.2589898745
681	0.2588815563
682	0.2586090611
683	0.2584029937
684	0.2582381246
685	0.2580760941
686	0.2579789637
687	0.2577886098
688	0.257570504
689	0.2574513411
690	0.2571895481
691	0.2570396271
692	0.2568967682
693	0.2567331736
694	0.2566695757
695	0.2565873606
696	0.2563346103
697	0.2561549445
698	0.2559975254
699	0.2558905362
700	0.2557228503
701	0.2555693785
702	0.255433788
703	0.2552840905
704	0.255104167
705	0.2550152607
706	0.2549468228
707	0.2547461864
708	0.2546062488
709	0.25448478
710	0.2543533897
711	0.2542335843
712	0.2541469623
713	0.2538082953
714	0.2536294778
715	0.253475958
716	0.2532260491
717	0.2530252586
718	0.2528956763
719	0.2527176682
720	0.2525082829
721	0.252310087
722	0.2519615264
723	0.2517778475
724	0.2516967305
725	0.2515199615
726	0.251281144
727	0.2511325653
728	0.2509189483
729	0.2507633312
730	0.2505762444
731	0.2502061257
732	0.2500740018
733	0.249738663
734	0.2495682101
735	0.249440813
736	0.2493072581
737	0.2492076576
738	0.2489126824
739	0.2487982333
740	0.2486107832
741	0.2484707509
742	0.2482539309
743	0.2481426011
744	0.2480327001
745	0.2479269368
746	0.2476816491
747	0.2476320635
748	0.2474816896
749	0.2472913706
750	0.2471609551
751	0.2468651281
752	0.2467794258
753	0.2466291453
754	0.2464668986
755	0.2461917524
756	0.2460537741
757	0.2458631354
758	0.2457779849
759	0.2456337343
760	0.245443361
761	0.2451889904
762	0.2451053484
763	0.2449222587
764	0.2446700471
765	0.2444929924
766	0.2441696741
767	0.2441240785
768	0.2439606594
769	0.2437542874
770	0.2436032846
771	0.243475444
772	0.243234542
773	0.2429003745
774	0.2428486917
775	0.2426356548
776	0.2424702006
777	0.2422967092
778	0.2421251492
779	0.2420593846
780	0.2418354004
781	0.24164147
782	0.2415402684
783	0.2414041161
784	0.2412554993
785	0.241146021
786	0.2409405921
787	0.2407919164
788	0.2407042411
789	0.2405380801
790	0.2402062715
791	0.2401376935
792	0.2399039503
793	0.2397172515
794	0.2395646428
795	0.2394832821
796	0.2394307727
797	0.2392374085
798	0.2391109364
799	0.2388995166
800	0.2387503372
801	0.2384676358
802	0.2382361176
803	0.2380723275
804	0.2379322212
805	0.2376481512
806	0.2374580515
807	0.2373588441
808	0.2370559265
809	0.2367501644
810	0.2365605809
811	0.2364194789
812	0.2361500279
813	0.2359465626
814	0.2357553537
815	0.2356471222
816	0.2354071843
817	0.2353621653
818	0.2352462627
819	0.2350278282
820	0.2349097675
821	0.2346613452
822	0.2345430393
823	0.2344999041
824	0.2344057958
825	0.2341852702
826	0.2340604119
827	0.2338651105
828	0.2337431672
829	0.2335640489
830	0.233348152
831	0.2331250154
832	0.2328803446
833	0.232731348
834	0.23267226
835	0.2325125986
836	0.2323154822
837	0.2320855846
838	0.2319560005
839	0.2317767225
840	0.2315981727
841	0.2313077346
842	0.2312507789
843	0.2311386315
844	0.2309421868
845	0.2306259401
846	0.2303937024
847	0.2300492249
848	0.2300021806
849	0.2297439641
850	0.2295249316
851	0.229236306
852	0.2292295384
853	0.2290798598
854	0.2289310196
855	0.2288581898
856	0.2286167351
857	0.2284765956
858	0.2283622798
859	0.2281706405
860	0.2279548369
861	0.2278062453
862	0.2276961799
863	0.2274613135
864	0.2272604507
865	0.2270469844
866	0.2268731408
867	0.226724457
868	0.2266071558
869	0.2264826607
870	0.2263665013
871	0.2262268712
872	0.2259261621
873	0.2257853645
874	0.2256722125
875	0.2253760909
876	0.2251366174
877	0.2250574945
878	0.2248711439
879	0.2247421316
880	0.2245592833
881	0.2244345039
882	0.2242829263
883	0.224051061
884	0.2240174945
885	0.2238854654
886	0.2237546044
887	0.22353652
888	0.2234546226
889	0.2233277927
890	0.2231906384
891	0.2229969671
892	0.2228729547
893	0.222770036
894	0.222520721
895	0.2223851472
896	0.2223301562
897	0.2221002485
898	0.2217959719
899	0.2216120472
900	0.2214662172
901	0.2213498367
902	0.2211365823
903	0.2208648813
904	0.2207358459
905	0.2205619424
906	0.2202741084
907	0.2200202851
908	0.2199204173
909	0.2198118464
910	0.2196594154
911	0.2195561124
912	0.2193469805
913	0.2192176075
914	0.2191608036
915	0.2190081943
916	0.2187578229
917	0.2186590297
918	0.2185111067
919	0.218236721
920	0.2180623272
921	0.217744344
922	0.217551693
923	0.2174479152
924	0.2173837668
925	0.2172386049
926	0.2171325044
927	0.2169671686
928	0.2168986164
929	0.2167580206
930	0.2166347309
931	0.2162809961
932	0.2161469302
933	0.2160422527
934	0.2157824252
935	0.2157153124
936	0.215611218
937	0.2154654251
938	0.21532836
939	0.215158605
940	0.2150349304
941	0.2148665016
942	0.2147269478
943	0.2144792239
944	0.2143127243
945	0.2141411241
946	0.2140719946
947	0.2139268049
948	0.2137986695
949	0.2137305751
950	0.2135979566
951	0.2133394735
952	0.2132293235
953	0.213110258
954	0.2128673219
955	0.2127550287
956	0.2125378594
957	0.212355735
958	0.2120140428
959	0.2118020772
960	0.211601219
961	0.2114335734
962	0.2113202548
963	0.2112139437
964	0.2110272501
965	0.2108607659
966	0.2107155958
967	0.2105985229
968	0.2104225474
969	0.2103009114
970	0.2101378318
971	0.2100190358
972	0.2098872951
973	0.2097211527
974	0.2095332523
975	0.2094101266
976	0.2091780026
977	0.2090553799
978	0.2087699284
979	0.2087151994
980	0.208605163
981	0.2085694472
982	0.2084348313
983	0.2083151646
984	0.2082365719
985	0.2080100956
986	0.2078574057
987	0.2077568769
988	0.2076333296
989	0.2073994992
990	0.2073480406
991	0.2072392642
992	0.2070911111
993	0.2069125687
994	0.2068124558
995	0.206459918
996	0.2063414529
997	0.206203469
998	0.2059194744
999	0.2058195601
